"Autor de la contribución
Apellido, Nombre",Fuente de datos,Seudónimo,Sexo,País de origen,Año de nacimiento del colaborador,Año de muerte del colaborador,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,,
"López Gómez, Adel",https://d-nb.info/gnd/1056469692; Minchero; Sánchez: Diccionario,,M,Colombia,1900,1989,1056469692,,"López Gómez, Adel",Unbekannt,1900-10-17,1889-08-19,Armenia,Kolumbien,"López Gómez, Adel",,,,,,"López Gómez, Adel",http://viaf.org/viaf/5106846,5106846,
"López Henao, José",Sánchez: Diccionario,,M,Colombia,1909,1955,,,"López Henao, José",,,,,,"López Henao, José",,,,,,"López Henao, José",,,
"López López, Humberto",https://d-nb.info/gnd/1056554843,,M,Colombia,,,1056554843,,"López López, Humberto",Unbekannt,,,,,"LÓPEZ LÓPEZ, HUMBERTO",,,,,,"LÓPEZ LÓPEZ, HUMBERTO",,,
"López Michelsen, Alfonso",https://www.wikidata.org/wiki/Q356678,,M,Colombia,1913,2007,133336298,Q356678,"López Michelsen, Alfonso",Unbekannt,1913,2007,Bogotá,Kolumbien,Alfonso López Michelsen,male,Bogotá,Colombia,1913-06-30T00:00:00Z,2007-07-11T00:00:00Z,"Lopez Michelsen, Alfonso, 1913-2007",http://viaf.org/viaf/3549161453834564330003,"3,54916E+21",
"López Narváez, Carlos",https://www.wikidata.org/wiki/Q97066730,,M,Colombia,1897,1971,,Q97066730,,,,,,,,,,,,,,https://viaf.org/viaf/226062201,226062201,
"López Penha, Abraham Zacarías",https://d-nb.info/gnd/1211577597,,M,Curaçao,1865,1927,1211577597,,,,,,,,,,,,,,,http://viaf.org/viaf/75926350,75926350,
"López Sanín, Jorge",Sánchez: Diccionario Autores Antioqueños,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"López Toro, Alvaro",https://d-nb.info/gnd/171177304,,M,Colombia,,,171177304,,"López Toro, Alvaro",Unbekannt,,,,,"LÓPEZ TORO, ALVARO",,,,,,"López Toro, Alvaro",http://viaf.org/viaf/21322865,21322865,
"López, Alejandro",https://www.wikidata.org/wiki/Q94511430,,M,Colombia,1876,1940,1053143176,Q94511430,"López, Alejandro",Unbekannt,1876,1940,,,Alejandro López,male,,,1876-01-01,1940-01-01,"López, Alejandro",https://viaf.org/viaf/70351099,70351099,
"López, Eduardo",https://www.wikidata.org/wiki/Q55466181,,M,Colombia,1888,1971,,Q55466181,"López, Eduardo",,,,,,Eduardo López,male,Buga,Colombia,1888-04-13,1971-11-03,"López, Eduardo",,,
"López, Ismael","Nieto; Guimarães, Argeu: Diccionario bio-bibliographico brasileiro : de diplomacia, política externa e direito internacional. - Rio de Janeiro : Edição do autor, 1938.",Cornelio Hispano,M,Colombia,1880,1962,,,,,,,,,,,,,,,,,,
"López, J. Emilio",https://d-nb.info/gnd/1018774327,,M,Colombia,1917,,1018774327,,"López, J. Emilio",Unbekannt,1917,,,,"LÓPEZ, J. EMILIO",,,,,,"LÓPEZ, J. EMILIO",,,
"López, Luis Carlos",https://www.wikidata.org/wiki/132035146,,M,Colombia,1883,1950,132035146,Q9024972,"López, Luis Carlos",Unbekannt,1879,1950,,,Luis Carlos López,male,Bogotá,Colombia,1883-09-11,1950-01-01,"López, Luis Carlos",https://viaf.org/viaf/284335798,284335798,
"Loti, Pierre",http://viaf.org/viaf/89440078,,M,Francia,1850,1923,,,,,,,,,,,,,,,,,,
"Louÿs, Pierre",https://es.wikipedia.org/wiki/Pierre_Lou%C3%BFs,,M,Francia,1870,1925,118780557,Q334958,"Louÿs, Pierre",Männlich,1870-12-10,1925-06-04,Gent,Belgien,Pierre Louÿs,male,Ghent,Belgium,1870-12-10,1925-06-04,"Louÿs, Pierre, 1870-1925.",https://viaf.org/viaf/49228364/,,
"Lozano y Lozano, Fabio",https://d-nb.info/gnd/101797053X,,M,Colombia,,,101797053X,,"Lozano y Lozano, Fabio",Unbekannt,,,,,"Lozano y Lozano, Fabio",,,,,,"Lozano y Lozano, Fabio",http://viaf.org/viaf/220813312,220813312,
"Lozano y Lozano, Juan",https://www.wikidata.org/wiki/Q40686924,,M,Colombia,1902,1979,1191139239,Q40686924,"Lozano y Lozano, Juan",Unbekannt,1902-04-06,1979-11-06,Ibagué,Kolumbien,Juan Lozano y Lozano,male,Ibagué,Colombia,1902-04-06,1979-11-06,"Lozano y Lozano, Juan",http://viaf.org/viaf/50548323,50548323,
"Lozano, Carlos T.",Sánchez: Diccionario,Carloza,M,Colombia,1895,,,,,,,,,,,,,,,,,,,
"Lugo Porras, Rafael",https://www.wikidata.org/wiki/Q6309071; Sánchez: Diccionario,Julio Abril,M,Colombia,1911,1973,,Q6309071,"Abril, Julio",,,,,,Julio Abril,male,,,1911-08-20T00:00:00Z,1973-09-23T00:00:00Z,"Abril, Julio",,,
"Lugones, Leopoldo",https://d-nb.info/gnd/118780794,Gil Paz,M,Argentina,1874,1938,118780794,Q188875,,,,,,,,,,,,,,http://viaf.org/viaf/54160474,54160474,
"Mac Douall, Roberto",https://www.wikidata.org/wiki/Q6109852,,M,Colombia,1850,1921,,Q6109852,"Mac Douall, Roberto",,,,,,Roberto Mac-Douall,male,Zipaquirá,Colombia,1850-09-06T00:00:00Z,1921-08-20T00:00:00Z,"Mac Douall, Roberto",http://viaf.org/viaf/99388973,99388973,
"Machado, Gonzalo",https://www.wikidata.org/wiki/Q60603701,,M,España,1660,1732,,Q60603701,"Machado, Gonzalo",,,,,,"Machado, Gonzalo",male,,España,1660-01-01,1732-12-29,"Machado, Gonzalo",,,
"Machado, Manuel",http://viaf.org/viaf/34524742,,M,España,1874,1947,,,,,,,,,,,,,,,,,,
"Madiedo, Manuel María",https://www.wikidata.org/wiki/Q22212108,,M,Colombia,1815,1888,,Q22212108,"Madiedo, Manuel María",,,,,,"Madiedo, Manuel María",male,Cartagena de Indias,Colombia,1815-09-15,1888-09-06,"Madiedo, Manuel María",http://viaf.org/viaf/43415448,43415448,
"Madrid Malo, Néstor",https://d-nb.info/gnd/1057187887,,,,1918,1989,1057187887,,"Madrid Malo, Néstor",Unbekannt,1918,1989,,,"Madrid Malo, Néstor",,,,,,"Madrid Malo, Néstor",,,
"Maeterlinck, Maurice",https://www.wikidata.org/wiki/Q49747,,M,Bélgica,1862,1949,118576089,Q49747,"Maeterlinck, Maurice",Männlich,1862-08-29,1949-05-06,Gent,Belgien,Maurice Maeterlinck,male,Ghent,Belgium,1862-08-29,1949-05-06,"Maeterlinck, Maurice",http://viaf.org/viaf/2473791,2473791,
"Maizeroy, René",https://www.wikidata.org/wiki/Q16889649,,M,Francia,1856,1918,116691514,Q16889649,"Maizeroy, René",Männlich,1856,1918,Metz,Frankreich,René Maizeroy,male,Metz,France,1856-05-02,1918-11-01,"Maizeroy, René",http://viaf.org/viaf/51720513,51720513,
"Mallarmé, Stéphane",http://viaf.org/viaf/51692711,,M,Francia,1842,1898,,,,,,,,,,,,,,,,,,
"Manrique Sánchez, Ramón",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1894,,,,"Manrique Sánchez, Ramón",,,,,,"Manrique Sánchez, Ramón",,,,,,"Manrique Sánchez, Ramón",,,
"Manrique Terán, Guillermo",Minchero; Sánchez: Diccionario,Guimat,M,Colombia,1889,,,,,,,,,,,,,,,,,,,
"Maragall, Juan",https://www.wikidata.org/wiki/Q562402,,M,España,1860,1911,118640887,Q562402,"Maragall, Joan",Männlich,1860-01-01,1911-12-20,Barcelona,Spanien,Joan Maragall,male,Barcelona,España,1860-10-10,1911-12-20,"Maragall, Juan",http://viaf.org/viaf/490145858105823022195,"4,90146E+20",
"Marín, Abel",Nieto; Michero; Echavarría,,M,Colombia,1888,1950,,,,,,,,,,,,,,,,,,
"Márquez Bravo, Tomás",http://viaf.org/viaf/7767158127396815150001,,M,Colombia,1890,1940,,,"MARQUEZ BRAVO, TOMAS",,,,,,"MARQUEZ BRAVO, TOMAS",,,,,,"Márquez, Tomás 1890-1940",http://viaf.org/viaf/7767158127396815150001,7767158127396810000000,
"Márquez, Gema",Sánchez: Diccionario,,M,Colombia,1921,,,,"Márquez, Gema",,,,,,"Márquez, Gema",,,,,,"Márquez, Gema",,,
"Márquez, Tomás",https://d-nb.info/gnd/1204169721; González/Zafir; Sánchez: Diccionario,Lope de Azuero,M,Colombia,1890,1940,1204169721,,"Márquez, Tomás",Unbekannt,1890,1940,Medellin,Kolumbien,"Márquez, Tomás",,,,,,"Márquez, Tomás",,,
"Marquina, Eduardo",https://www.wikidata.org/wiki/Q686570,,M,España,1879,1946,118782061,Q686570,"Marquina, Eduardo",Unbekannt,1879,1946,Barcelona,Spanien,Eduardo Marquina,male,Barcelona,España,1879-01-21,1946-11-21,"Marquina, Eduardo, 1879-1946.",https://viaf.org/viaf/12461704/,,
"Marroquín, José Manuel",https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Marroqu%C3%ADn,,M,Colombia,1827,1908,105643547X,Q2838418,"Marroquín, José Manuel",Unbekannt,1827-08-06,1908-09-19,Bogotá,Kolumbien,Manuel Marroquín,male,Bogotá,Colombia,1827-08-06,1908-09-19,"Marroquín, José Manuel",http://viaf.org/viaf/310563152,310563152,
"Marroquín, Lorenzo",https://d-nb.info/gnd/1055473084,,,,1856,1918,1055473084,,"Marroquín, Lorenzo",Unbekannt,1856,1918,,,"Marroquín, Lorenzo",,,,,,"Marroquín, Lorenzo",http://viaf.org/viaf/77933834,77933834,
"Martán Góngora, Helcías",https://d-nb.info/gnd/13146602X,,,,1920,1984,13146602X,,"Martán Góngora, Helcías",Unbekannt,1920-02-27,1984-04-16,,,"Martán Góngora, Helcías",,,,,,"Martán Góngora, Helcías",http://viaf.org/viaf/9969709,9969709,
"Martín, Carlos",https://www.wikidata.org/wiki/Q18018987,,M,Colombia,1914,2008,1057512192,Q18018987,"Martín, Carlos",Unbekannt,1914,2008,,,Carlos Martín Fajardo,male,Chiquinquirá,Colombia,1914-01-16T00:00:00Z,2008-12-13T00:00:00Z,"Martín, Carlos",,,
"Martínez de Nisser, María",https://www.wikidata.org/wiki/Q4750435,,F,Colombia,1812,1872,140620044,Q4750435,"Martínez de Nisser, María",Unbekannt,1812,1872-09-18,,,Ana María Martínez de Nisser,female,1812-12-06T00:00:00Z,1872-09-18T00:00:00Z,Sonsón,Colombia,"Martínez de Nisser, María, 1812-1872",http://viaf.org/viaf/24692557,24692557,
"Martínez Delgado, Antonio",Sánchez: Diccionario,,M,Colombia,1893,1933,,,"Martínez Delgado, Antonio",,,,,,"Martínez Delgado, Antonio",,,,,,"Martínez Delgado, Antonio",,,
"Martínez Mutis, Aurelio",https://www.wikidata.org/wiki/Q16489216,,M,Colombia,1884,1894,1057044032,Q16489216,"Martínez Mutis, Aurelio",Unbekannt,1884,1954,,Kolumbien,Aurelio Martínez Mutis,male,Bucamaranga,Colombia,1884-04-09,1954-10-23,"Martínez Mutis, Aurelio",https://viaf.org/viaf/44340956/,44340956,
"Martínez Rivas, Federico","Sánchez: Diccionario; Ardila A., Héctor M.; Viscaino, Inés: Hombres y Mujeres en las Letras de Colombia. - Santa Fé de Bogotá : Colección Aula Abierta. Cooperativa Editorial Magisterio, 1998",,M,Colombia,1889,1912,,,"Martínez Rivas, Federico",,,,,,,,,,,,,,,
"Martínez Ruiz, José",http://viaf.org/viaf/2479761,Azorín,M,España,1873,1967,,,,,,,,,,,,,,,,,,
"Martínez Sierra, Gregorio",https://es.wikipedia.org/wiki/Gregorio_Mart%C3%ADnez_Sierra,,M,España,1881,1947,118782312,Q1137438,"Martínez Sierra, Gregorio",Männlich,1881,1947,Madrid,Spanien,Gregorio Martínez Sierra,male,Madrid,España,1881-05-06,1947-10-01,"Martínez Sierra, Gregorio",http://viaf.org/viaf/49350022,,
"Martínez Silva, Carlos",https://www.wikidata.org/wiki/Q2883932,,M,Colombia,1847,1903,1055298908,Q2883932,"Martínez Silva, Carlos",Unbekannt,1847,1903,,,Carlos Martínez Silva,male,San Gil,Colombia,1847-10-06,1903-02-10,"Martínez Silva, Carlos",http://viaf.org/viaf/5088140,5088140,
"Martínez Uribe, Juan Cristóbal",QeQ Ven.; Sánchez: Diccionario,Juancé,M,Colombia,1896,1959,,,,,,,,,,,,,,,,,,
"Martón é Izaguirre, J.","Ossorio y Bernard, Manuel: Ensayo de un catálogo de periodistas españoles del siglo XIX. - Madrid : Palacios, 1903-1904",,M,España,,,,,,,,,,,,,,,,,,,,
"Matos Hurtado, Belisario",https://d-nb.info/gnd/1057570532,,M,Colombia,1890,1953,1057570532,,"Matos Hurtado, Belisario",Unbekannt,1890,1953,Pamplona (Kolumbien),Kolumbien,"Matos Hurtado, Belisario",,,,,,"Matos Hurtado, Belisario 1890-1953",http://viaf.org/viaf/8504163464324705680003,"8,50416E+21",
"Maupassant, Guy de",https://es.wikipedia.org/wiki/Guy_de_Maupassant,,M,Francia,1850,1893,118579207,Q9327,"Maupassant, Guy de",Männlich,1850-08-05,1893-07-07,Dieppe,Frankreich,Guy de Maupassant,male,Tourville-sur-Arques,France,1850-08-05,1893-07-06,"Maupassant, Guy de",http://viaf.org/viaf/29537765,,
"May, Dick",https://www.wikidata.org/wiki/Q3026603,,M,Algeria,1859,1925,139472789,Q3026603,"May, Dick",Weiblich,1860,1925,,,Dick May,female,Algiers,Algeria,1859-08-03,1925-01-01,"May, Dick",http://viaf.org/viaf/61698734,61698734,
"Maya, Juan Antonio","Echavarría; Arboleda, Gustavo: Diccionario biográfico general del antiguo departamento del Cauca : colonia, independencia, republica. - Quito : Galvez, 1910.",,M,Colombia,1879,1903,,,,,,,,,,,,,,,,,,
"Maya, Rafael",https://www.wikidata.org/wiki/Q6097641,,M,Colombia,1897,1980,1057506451,Q6097641,"Maya, Rafael",Unbekannt,1897,1980,,,"Maya, Rafael",male,Popayán,Colombia,1897-01-01,1980-07-22,"Maya, Rafael",http://viaf.org/viaf/7404272,7404272,
"Mayorga Rivas, Román",https://www.wikidata.org/wiki/Q6111603,,M,Nicaragua,1862,1925,1206960469,Q6111603,"Mayorga Rivas, Román",Unbekannt,1862,1925,León (Nicaragua),Nicaragua,Román Mayorga Rivas,male,León,Nicaragua,1862-01-01,1925-12-28,"Mayorga Rivas, Román 1862-1926",http://viaf.org/viaf/310659162,310659162,
"Mazo, Carlos",https://www.wikidata.org/wiki/Q94574982,,M,Colombia,1895,1939,,Q94574982,"MAZO, CARLOS",,,,,,Carlos Mazo,male,1895-01-01T00:00:00Z,1939-01-01T00:00:00Z,,,"Mazo, Carlos, 1895-1939",http://viaf.org/viaf/77921131,77921131,
"Mazzilli Ribón, José",https://www.wikidata.org/wiki/Q106514886,,,,1892,1977,1089774486,Q106514886,"Mazzilli Ribón, José",Unbekannt,1892,1977,,,José Mazzilli Ribón,male,,,1892-02-29T00:00:00Z,1977-11-23T00:00:00Z,"Mazzilli Ribón, José",,,
"Medina, Joaquín R.",https://d-nb.info/gnd/1057606499,,,,1894,1940,1057606499,,"Medina, Joaquín R.",Unbekannt,1894,1940,,,"Medina, Joaquín R.",,,,,,"Medina, Joaquín R.",http://viaf.org/viaf/89199043,89199043,
"Medina, Vicente",http://viaf.org/viaf/71516387,,M,España,1866,1937,124937845,Q2892054,"Medina, Vicente",Unbekannt,1866,1937,,,Vicente Medina,male,Archena,España,1866-10-27,1937-08-17,"Medina, Vicente",http://viaf.org/viaf/71516387,,
"Mejía Álvarez, Luis María",https://www.wikidata.org/wiki/Q105946290,,M,Colombia,1846,1929,,Q105946290,"MEJÍA ALVAREZ, LUIS MARÍA",,,,,,Luis María Mejía Álvarez,male,,,,,"MEJÍA ALVAREZ, LUIS MARÍA",,,
"Mejía Ángel, Carlos",https://d-nb.info/gnd/1060686309,Ciro Mendía,M,Colombia,1892,1979,1060686309,Q5770246,,,,,,,,,,,,,,https://viaf.org/viaf/54185520,54185520,
"Mejía Ángel, Gustavo",González/Zafir; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1886,,,,"Mejía, Gustavo",,,,,,"Mejía A, Gustavo",,,,,,"Mejía A, Gustavo",,,
"Mejía Arango, Félix",https://d-nb.info/gnd/1204088721,Pepe Mexía,M,Colombia,1894,1978,1204088721,,"Mexía, Pepe",Unbekannt,1894,1978,Antioquia,Kolumbien,"Mejía Arango, Félix",,,,,,"Mexía, Pepe",http://viaf.org/viaf/1023158127378315150005,"1,02316E+21",
"Mejía Escobar, Jesús M.",https://d-nb.info/gnd/1018645055,,,Colombia,,,1018645055,,"Mejía Escobar, Jesús",Unbekannt,,,,,"MEJÍA ESCOBAR, JESÚS M.",,,,,,"MEJÍA ESCOBAR, JESÚS M.",,,
"Mejía López, Pedro Pablo",http://viaf.org/viaf/38920627,,M,Colombia,1927,,,,"MEJÍA LÓPEZ, PEDRO PABLO",,,,,,"MEJÍA LÓPEZ, PEDRO PABLO",,,,,,"Mejía López, Pedro Pablo 1927-",http://viaf.org/viaf/38920627,38920627,
"Mejía Robledo, Alfonso",WW Latin America 1; QeQ Ven.; Minchero; Sánchez: Diccionario; Ardila/Viscaino,,M,Colombia,1897,1962,112206196X,,,,,,,,,,,,,,,,,
"Mejía Rodríguez, Alfonso",Sánchez: Diccionario autores Antioqueños,,M,Colombia,1893,,,,,,,,,,,,,,,,,,,
"Mejía Vallejo, Manuel",https://www.wikidata.org/wiki/Q946599,,M,Colombia,1923,1998,11885559X,Q946599,"Mejía Vallejo, Manuel",Unbekannt,1923-04-23,1998-07-23,,,Manuel Mejía Vallejo,male,Jericó,Colombia,1923-04-23T00:00:00Z,1998-07-23T00:00:00Z,"Mejía Vallejo, Manuel",http://viaf.org/viaf/102370369,102370369,
"Mejía Velilla, David",https://www.wikidata.org/wiki/Q56000642,,M,,1935,2002,137128401,Q56000642,"Mejía Velilla, David",Unbekannt,1935,,,,"Mejía Velilla, David",male,,,1935-01-01,2002-12-26,"Mejía Velilla, David",http://viaf.org/viaf/73848446,73848446,
"Mejía y Mejía, José",Sánchez: Diccionario Autores Antioqueños,Jota,M,Colombia,1911,,,,,,,,,,,,,,,,,,,
"Mejía, Dolly",https://www.wikidata.org/wiki/Q47494122,,F,Colombia,1920,1975,,Q47494122,"MEJÍA, DOLLY",,,,,,Dolly Mejía,female,1920-08-06T00:00:00Z,1975-10-26T00:00:00Z,Jericó,Colombia,"MEJÍA, DOLLY",,,
"Mejía, Epifanio",http://viaf.org/viaf/70558709,,M,Colombia,1838,1913,,Q6430209,"Mejía, Epifanio",,,,,,Epifanio Mejía,male,Yarumal,Colombia,1838-04-09,1913-07-13,"Mejía, Epifanio",http://viaf.org/viaf/70558709,,
"Mejía, Luis Fernando",https://d-nb.info/gnd/129337811,,M,,1941,,129337811,,"Mejía, Luis Fernando",Männlich,1941,,,,Luis Fernando Mejía,,,,,,"Mejía, Luis Fernando",,,
"Mejía, María Teresa",https://d-nb.info/gnd/140707840,,,Colombia,1907,1983,140707840,,"Mejía, María Teresa",Unbekannt,1907,1983,,,"MEJÍA, MARÍA TERESA",,,,,,"Mejía, María Teresa 1907-1983",http://viaf.org/viaf/9585930,9585930,
"Mendès, Catulle",https://es.wikipedia.org/wiki/Catulle_Mend%C3%A8s,,M,Francia,1841,1909,118783203,Q971215,"Mendès, Catulle",Männlich,1841-05-22,1909-02-07,Bordeaux,Frankreich,Catulle Mendès,male,Bordeaux,France,1841-05-22,1909-02-08,"Mendés, Catulle",http://viaf.org/viaf/34460397,,
"Méndez Camacho, Miguel",https://d-nb.info/gnd/1056779551,,,Colombia,1942,,1056779551,,"Méndez Camacho, Miguel",Unbekannt,1942,,,,"Méndez Camacho, Miguel",,,,,,"Méndez Camacho, Miguel",,,
"Mendive y Daumy, Rafael María de",https://www.wikidata.org/wiki/Q9065826,,M,Cuba,1821,1886,,Q9065826,,,,,,,,,,,,,,,,
"Mendoza Varela, Eduardo",https://www.wikidata.org/wiki/Q108750006,,M,Colombia,1918,1986,1159086087,Q108750006,"Mendoza Varela, Eduardo",Unbekannt,,,,,Eduardo Mendoza Varela,male,,,1918-03-29T00:00:00Z,1986-03-08T00:00:00Z,"Mendoza Varela, Eduardo",http://viaf.org/viaf/64248578,64248578,
"Mendoza, Diego",https://es.wikipedia.org/wiki/Diego_Mendoza,,M,Colombia,1857,1933,1061262650,Q41779910,"Mendoza, Diego",Männlich,,,,,Diego Mendoza,male,,Colombia,1857-04-04,1933-06-14,"Mendoza, Diego",https://viaf.org/viaf/89055150/,,
"Mercado, Julio",http://viaf.org/viaf/14341247,,M,Chile,,,,,"Mercado, Julio",,,,,,"Mercado, Julio",,,,,,"Mercado, Julio",http://viaf.org/viaf/14341247,,
"Merchán, Rafael María",https://d-nb.info/gnd/1026721547,,M,México,1844,1905,1026721547,Q55837761,"Merchán, Rafael María",Unbekannt,1844,1905,Manzanillo (Mexiko),Mexiko,Rafael María Merchán,male,,,1844-01-01T00:00:00Z,1905-01-01T00:00:00Z,"Merchán, Rafael María",http://viaf.org/viaf/13910707,,
"Merizalde Uribe, Antonio",https://d-nb.info/gnd/115712786X,,M,Colombia,1883,1916,115712786X,,"Merizalde, Antonio",Unbekannt,1883,1916,Medellin,Kolumbien,"MERIZALDE URIBE, ANTONIO",,,,,,"Merizalde, Antonio 1883-1916",http://viaf.org/viaf/3272152563104715560000,3272152563104720000000,
"Mesa Gómez, Carlos Eduardo",https://www.wikidata.org/wiki/Q97065115,,M,Colombia,1915,1989,1056712872,Q97065115,"Mesa, Carlos Eduardo",Unbekannt,1915,1989,,,Carlos Eduardo Mesa,male,1915-01-01T00:00:00Z,1989-01-01T00:00:00Z,1915-01-01T00:00:00Z,1989-01-01T00:00:00Z,"Mesa, Carlos E.",http://viaf.org/viaf/102314525,102314525,
"Mesa Jaramillo, José María",Rendón 400,,M,Colombia,1862,1918,,,,,,,,,,,,,,,,,,
"Mesa Nichólls, Alejandro",González/Zafir; Minchero,,M,Colombia,1896,1920,1056271159,,"Mesa Nicholls, Alejandro",Unbekannt,,,,,"Mesa Nichólls, Alejandro",,,,,,"Mesa Nicholls, Alejandro",http://viaf.org/viaf/309743337,309743337,
"Mikhaël, Efraín",http://www.iberoamericadigital.net/BDPI/Search.do;jsessionid=87FD0E4A3C472F68A44B4DC204088F1A?numfields=1&field1=docId&field1val=005-171958&field1Op=AND&advanced=true&hq=true&important=T%C3%ADtulo%3A+Realeza+%3B+Milagros+%3B+El+evocador+%2F+Efrai%CC%81n+Mikhae%CC%88l+%3B+versio%CC%81n+de+Eduardo+Castillo,,M,Francia,1866,1890,,,,,,,,,,,,,,,,,,
"Miranda, Omer",Gallo Martínez,,M,Colombia,1924,1987,,,,,,,,,,,,,,,"Miranda, Omer",,,
"Miró, Gabriel",http://viaf.org/viaf/29542991,,M,España,1879,1930,,,,,,,,,,,,,,,,,,
"Mockel, Albert",https://es.wikipedia.org/wiki/Albert_Mockel,,M,Bélgica,1866,1945,118784366,Q2831420,"Mockel, Albert",Männlich,1866-12-27,1945-01-30,Ougrée,Belgien,Albert Mockel,male,Ougrée,Belgium,1866-12-27,1945-01-30,"Mockel, Albert",http://viaf.org/viaf/49229100,,
"Molano de Sicard, Sofía",Echavarria,Silvia Lorenzo,F,Colombia,1918,,,,"Lorenzo, Silvia",,,,,,"Lorenzo, Silvia",,,,,,"Lorenzo, Silvia",http://viaf.org/viaf/168842475,168842475,
"Molina Garcés, Ciro",https://www.wikidata.org/wiki/Q18418605,,M,Colombia,1891,1953,,Q18418605,"Molina Garcés, Ciro",,,,,,Ciro Molina Garcés,male,Cali,Colombia,1891-12-16,1953-09-24,"Molina Garcés, Ciro",,,
"Molina, Gerardo",https://www.wikidata.org/wiki/Q5550290,,M,Colombia,1906,1991,136823068,Q5550290,"Molina, Gerardo",Unbekannt,1906,1991,,,Gerardo Molina,male,1906-08-06T00:00:00Z,1991-03-29T00:00:00Z,Gómez Plata,Colombia,"Molina, Gerardo",http://viaf.org/viaf/81104062,81104062,
"Molina, Juan José",https://d-nb.info/gnd/137890826,,,Colombia,1838,1902,137890826,,"Molina, Juan José",Unbekannt,1838,1902,,,"MOLINA, JUAN JOSÉ",,,,,,"MOLINA, JUAN JOSÉ",,,
"Molina, Pedro Antonio",https://es.wikipedia.org/wiki/Pedro_Antonio_Molina,,M,Colombia,1851,1924,,,,,,,,,,,,,,,,,,
"Monsalve, José Dolores",http://viaf.org/viaf/55148121061094792995,,M,Colombia,1859,1940,1056269367,,"Monsalve, José D.",Unbekannt,1859,1940,,,"MONSALVE, JOSÉ DOLORES",,,,,,"Monsalve, José Dolores, 1859-1940",http://viaf.org/viaf/55148121061094792995,55148121061094800000,
"Montes Del Valle, Agripina",https://es.wikipedia.org/wiki/Agripina_Montes_del_Valle,,F,Colombia,1844,1912,1057062243,Q10849947,"Montes del Valle, Agripina",Unbekannt,1844,1915,Salamina,Kolumbien,Agripina Montes del Valle,female,,Colombia,1844-01-01,1912-01-01,"Montes del Valle, Agripina, 1844-1915",https://viaf.org/viaf/310544380/,,
"Montoya Tirado, Wenceslao",https://d-nb.info/gnd/1057124931,,M,Colombia,1889,1971,1057124931,,"Montoya, Wenceslao",Unbekannt,1889,1971,,,"MONTOYA TIRADO, WENCESLAO",,,,,,"Montoya, Wenceslao, 1889-1971",http://viaf.org/viaf/54080093,54080093,
"Montoya Toro, Jorge",https://d-nb.info/gnd/1178161781; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1921,1989,1178161781,,"Montoya Toro, Jorge",Unbekannt,1921,1989,,,"Montoya Toro, Jorge",,,,,,"Montoya Toro, Jorge",http://viaf.org/viaf/64056866,64056866,
"Montoya Upegui, Laura",http://viaf.org/viaf/27868378,,F,Colombia,1874,1949,,,"MONTOYA, LAURA",,,,,,"MONTOYA, LAURA",,,,,,"Montoya Upegui, Laura 1874-1949 b",http://viaf.org/viaf/27868378,27868378,
"Montoya y Flórez, Juan Bautista",http://viaf.org/viaf/66013496; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1867,1937,,,"MONTOYA Y FLOREZ, JUAN BAUTISTA",,,,,,"MONTOYA Y FLOREZ, JUAN BAUTISTA",,,,,,"Montoya y Flórez, J. B. 1867-1937",http://viaf.org/viaf/66013496,66013496,
"Montoya, Antonio José",Rendón 400,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Montoya, Baudilio",https://www.wikidata.org/wiki/Q19946989,,M,Colombia,1903,1965,1057611425,Q19946989,"Montoya, Baudilio",Unbekannt,1903,1965,,,Baudilio Montoya,male,Rionegro,Colombia,1903-05-26T00:00:00Z,1965-09-27T00:00:00Z,"Montoya, Baudilio",,,
"Montoya, Ramiro",https://d-nb.info/gnd/132666200; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1933,,132666200,,"Montoya Echeverry, Ramiro",Unbekannt,,,,,"MONTOYA, RAMIRO",,,,,,"MONTOYA, RAMIRO",,,
"Mora Vásquez, José Manuel",https://www.wikidata.org/wiki/Q24827292,,M,Colombia,1896,1961,,Q24827292,"Mora, José Manuel",,,,,,José Manuel Mora,male,Medellín,Colombia,1896-01-01,1961-01-01,"Mora, José Manuel",,,
"Mora, Luis María",https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Mora,,M,Colombia,1867,1936,,Q26791528,,Unbekannt,,,,,Luis María Mora,male,Bogotá,Colombia,1869-01-01,1936-01-01,"Mora, Luis María",https://viaf.org/viaf/46300812/,,
